Source,Target,Case Sensitive,Enabled
Chris Dalyn,Crissdalynn,0,1
Christa Lynn,Crissdalynn,0,1
Chris Dalen,Crissdalynn,0,1
Kris Dalyn,Crissdalynn,0,1
Christa Lynne,Crissdalynn,0,1
Chris da Lynn,Crissdalynn,0,1
Crisdalyn,Crissdalynn,0,1
Kinris,Khinriss,0,1
Kin Riss,Khinriss,0,1
Kinross,Khinriss,0,1
Keen Riss,Khinriss,0,1
Kin Ris,Khinriss,0,1
Tabernacle,Tabarnack,0,1
Tabar Nack,Tabarnack,0,1
Tabernack,Tabarnack,0,1
Taber Nack,Tabarnack,0,1
Tabarnac,Tabarnack,0,1
Perin,Perrin,0,1
Blackjaw,Black-Jaw,0,1
Black Jaw,Black-Jaw,0,1
Del Mar,Delmar,0,1
Kizil,Kyzil,0,1
Kissle,Kyzil,0,1
Kizzle,Kyzil,0,1
Kizzel,Kyzil,0,1
Kai Zill,Kyzil,0,1
Kaizen,Kyzil,0,1
Aracokra,Aarakocra,0,1
Arakocra,Aarakocra,0,1
Eracokra,Aarakocra,0,1
Arrakocra,Aarakocra,0,1
Arakokra,Aarakocra,0,1
Ratkin,Rattkin,0,1
Rat Kin,Rattkin,0,1
Ratkin,Rattkin,0,1
Calvino,Calveno,0,1
Cal Veno,Calveno,0,1
Dravossi,Dravosi,0,1
Drevosi,Dravosi,0,1
Dravosee,Dravosi,0,1
Tessareen,Tessarine,0,1
Tesserine,Tessarine,0,1
Tessarine,Tessarine,0,1
Umberley,Umberlee,0,1
Umberly,Umberlee,0,1
Umber Lee,Umberlee,0,1
Valker,Valkur,0,1
Val Cur,Valkur,0,1
Valcur,Valkur,0,1
Musheron,Moucheron,0,1
Mush Ron,Moucheron,0,1
Moosh Ron,Moucheron,0,1
Mousheron,Moucheron,0,1
Wave Servant,Waveservant,0,1
wave servant,Waveservant,0,1
Beaumont Cell,Beaumont Sel,0,1
Beaumont Sell,Beaumont Sel,0,1
Bomont Sel,Beaumont Sel,0,1
Barnaby Rook,Barnaby Rook,0,1
Bastian Crev,Bastian Crev,0,1
Detto Kalash,Detto Kalash,0,1
Rael Corven,Rael Corven,0,1
Rail Corven,Rael Corven,0,1
Sienne Ore,Sienne Orre,0,1
See En Ore,Sienne Orre,0,1
Simone Tabernacle,Simone Tabarnack,0,1
Simone Tabernack,Simone Tabarnack,0,1
Nona Blackjaw,Nona Black-Jaw,0,1
Nona Black Jaw,Nona Black-Jaw,0,1
Vincenzo Blackjaw,Vincenzo Black-Jaw,0,1
Vincenzo Black Jaw,Vincenzo Black-Jaw,0,1
An Solo,Anzolo,0,1
Ansolo,Anzolo,0,1
On Solo,Anzolo,0,1
Blanca,Branca,0,1
Bronca,Branca,0,1
Cosimo Veranchio,Cosimo Verantio,0,1
Kosimo,Cosimo,0,1
Veranchio,Verantio,0,1
Yakopo,Iacopo,0,1
Yakopo Fieski,Iacopo Fieschi,0,1
Fieski,Fieschi,0,1
Fee Eski,Fieschi,0,1
Fiesky,Fieschi,0,1
Oleandro Fushi,Oleandro Fuschi,0,1
Oleandro Fooshy,Oleandro Fuschi,0,1
