ID,Start,End,Speaker,Text
1,00:00,00:00,Delmar,"On the shoulder?"
2,00:00,00:00,Delmar,"Okay."
3,00:01,00:01,Delmar,"Then it's like,"
4,00:01,00:03,Delmar,"I'm glad I took my jacket off."
5,00:03,00:04,Delmar,"Like,"
6,00:04,00:05,Delmar,"this hits and you see,"
7,00:05,00:06,Delmar,"like,"
8,00:06,00:07,Delmar,"a good splash of blood."
9,00:07,00:08,Delmar,"Yeah."
10,00:08,00:08,Delmar,"Like,"
11,00:08,00:09,Delmar,"I'm at 12 HP."
12,00:11,00:11,Speaker 1,"That hit hard."
13,00:13,00:14,Speaker 1,"I hope you..."
14,00:16,00:18,DM,"I already said he's doing it to you again."
15,00:19,00:19,Delmar,"Right,"
16,00:19,00:20,Delmar,"right."
17,00:20,00:22,Delmar,"The Edelman's Post surprise."
18,00:24,00:26,Perrin,"I'm warming up my healing."
19,00:27,00:28,Delmar,"I am going to,"
20,00:28,00:32,Delmar,"you're going to see Delmar ready for it this time."
21,00:32,00:32,Delmar,"Put a big,"
22,00:32,00:33,Delmar,"you know,"
23,00:34,00:35,Delmar,"you see him smile,"
24,00:35,00:36,Delmar,"and you see his smile get a little bigger,"
25,00:36,00:37,Delmar,"a little brighter,"
26,00:37,00:39,Delmar,"and almost like a shing come off of his teeth."
27,00:40,00:41,Delmar,"And I'm going to burn a luck point,"
28,00:42,00:43,Delmar,"and you have to roll a disadvantage."
29,00:45,00:46,Delmar,"This is one of the few times."
30,00:46,00:47,Delmar,"This is my level up moment."
31,00:47,00:48,DM,"Do it."
32,00:52,00:53,DM,"The one is the one."
33,00:55,00:55,DM,"Let's go!"
34,00:56,00:57,DM,"That second dagger,"
35,00:57,01:02,DM,"it It goes high and it just threw the coat in the wall behind me."
36,01:02,01:03,DM,"Right through my shirt or whatever?"
37,01:03,01:03,DM,"Well,"
38,01:03,01:04,DM,"that is lucky."
39,01:05,01:06,DM,"Extremely lucky."
40,01:07,01:08,DM,"That's it for his turn."
41,01:09,01:09,DM,"Oh,"
42,01:09,01:09,DM,"wait."
43,01:09,01:10,DM,"Actually,"
44,01:10,01:11,DM,"he has..."
45,01:14,01:15,Delmar,"And at that point,"
46,01:15,01:17,Delmar,"Delmar will pull out his..."
47,01:18,01:19,Delmar,"He'll pull out the Duchess."
48,01:20,01:22,Perrin,"I think on that note,"
49,01:22,01:23,Perrin,"as he..."
50,01:23,01:24,Perrin,"The Red Lady."
51,01:24,01:24,Perrin,"My sword."
52,01:24,01:54,Perrin,"As he pulls out The Red Lady i think parin's getting a little excited by all this action and he's going to unpack his drum from his baggage and stuff and he's going to start banging out some tunes as you guys are fighting up here and obviously giving you guys bardic inspiration as you as you fight all right and i would like to do healing words on um our friend here as well the admiral you get one free action and uh and then we'll roll initiative things we do in the fight cool I'm just going to support"
53,01:54,02:19,Perrin,"I'm not going to I mean what are the healing words he can involve me if he wants to I feel like Perrin is kind of like ah this is kind of between these guys and I don't know why the Admiral's getting involved but they know each other like I don't really know what's going on here so I'm not going to like maybe this isn't my place to interfere I'm holding my own now and you are holding your own too so I'm like I'm taking zero damage I'm going to have fun and play a song like we're all a bit tipsy I'll"
54,02:19,02:52,DM,"play some song make this more fun but anyways I'll just fucking net one You're rolling like me right now Yeah apparently Apparently Although you're doing healing word right Yeah that was the idea Healing word you don't have to roll a d20 to do right It's just like a thing that happens You roll for how much healing Yeah basically yeah you roll for healing Plus your fucking Charisma modifier I think Although that d20 you rolled Could be your initial That was my initiative."
55,02:53,02:53,Perrin,"That was the idea."
56,02:53,02:54,Perrin,"I go last."
57,02:55,02:56,Perrin,"I have awful initiative."
58,02:57,02:59,Perrin,"So your mod is like a plus two or three?"
59,02:59,03:00,DM,"It's a plus four."
60,03:00,03:01,DM,"Okay,"
61,03:01,03:01,DM,"you got a five."
62,03:03,03:03,Speaker 1,"I mean,"
63,03:03,03:03,Speaker 1,"I did."
64,03:08,03:09,Perrin,"I'm just looking up healing word definition."
65,03:10,03:10,Perrin,"But that's what I want to do."
66,03:10,03:16,Perrin,"I want a healing word and I want to just play a song on the drum and give inspiration if you guys need it,"
67,03:16,03:17,Perrin,"when you need it."
68,03:18,03:45,Delmar,"no I got my inspiration back can we say just for the I don't Delmar has no issue against the man but he also realizes he's a little drunk because he threw an actual dagger and fucking you know fucking laced me up really good in one fucking hit I'm like It's all non-lethal."
69,03:45,03:46,Delmar,"I look up to confirm,"
70,03:46,03:47,Delmar,"but it is all non-lethal."
71,03:48,03:50,Delmar,"I appreciate you having to update me."
72,03:51,03:52,DM,"I just think you're really stupid."
73,03:53,03:54,DM,"He is fighting hard."
74,03:55,03:57,Delmar,"I just took a really,"
75,03:57,03:57,Delmar,"like..."
76,03:58,03:58,DM,"No,"
77,03:58,03:58,DM,"no,"
78,03:58,03:59,DM,"he threw blood."
79,03:59,04:00,Speaker 1,"He threw a big hit."
80,04:00,04:02,DM,"And you stuck it really tight."
81,04:02,04:04,DM,"He's aware of how much he can take before you die."
82,04:04,04:04,DM,"Okay,"
83,04:05,04:06,Delmar,"so can we say at least,"
84,04:07,04:08,Delmar,"because I know we haven't talked about this,"
85,04:08,04:08,Delmar,"like,"
86,04:08,04:09,Delmar,"maybe this..."
87,04:09,04:14,Delmar,"Would you say this is the first time Delmar has engaged in their sparring,"
88,04:14,04:15,Delmar,"Or is this,"
89,04:15,04:16,Delmar,"would this be like,"
90,04:16,04:17,Delmar,"this has happened before?"
91,04:18,04:18,DM,"I would,"
92,04:18,04:19,DM,"I mean,"
93,04:19,04:21,DM,"I could imagine you and Krystalyn have sparred before."
94,04:22,04:23,DM,"And I don't know,"
95,04:23,04:23,DM,"I,"
96,04:23,04:24,DM,"you know,"
97,04:24,04:25,DM,"every,"
98,04:26,04:26,DM,"every,"
99,04:26,04:27,DM,"every monk I've ever seen,"
100,04:27,04:28,DM,"when they,"
101,04:28,04:30,DM,"when they fight in practice,"
102,04:30,04:31,DM,"they actually practice."
103,04:31,04:31,DM,"Yes."
104,04:32,04:32,DM,"Right."
105,04:32,04:33,DM,"Okay."
106,04:33,04:33,DM,"So,"
107,04:33,04:34,DM,"like,"
108,04:34,04:35,DM,"all right,"
109,04:35,04:35,DM,"then I'm,"
110,04:35,04:36,DM,"I'm."
111,04:36,04:36,DM,"You're familiar with,"
112,04:36,04:37,DM,"like,"
113,04:37,04:38,DM,"the bruises and the,"
114,04:38,04:38,DM,"and the."
115,04:39,04:40,Delmar,"That's Udo."
116,04:40,04:41,Delmar,"I am drawing the,"
117,04:41,04:44,Delmar,"I always forget the name of my weapons."
118,04:45,04:46,Delmar,"But he doesn't want to kill you."
119,04:46,04:46,Delmar,"I draw my rapier."
120,04:47,04:48,DM,"He doesn't want to kill any of you,"
121,04:48,04:49,DM,"and he will try not to."
122,04:49,04:50,Delmar,"I would know this."
123,04:50,04:52,Delmar,"That's all I'm establishing is,"
124,04:52,04:52,Delmar,"like,"
125,04:52,04:53,Delmar,"is he,"
126,04:53,04:53,Delmar,"like,"
127,04:53,04:55,Delmar,"drunk and then all of a sudden doesn't hold back because he's drunk?"
128,04:56,04:56,Delmar,"Or is it,"
129,04:56,04:57,Delmar,"this is just normal,"
130,04:57,04:58,Delmar,"this is just normal training."
131,04:58,04:59,Delmar,"Okay,"
132,04:59,05:00,DM,"Gilmore knows this."
133,05:00,05:00,DM,"He's drawn into this normal training."
134,05:01,05:01,DM,"Okay,"
135,05:01,05:01,DM,"good."
136,05:01,05:02,DM,"He's happy that he,"
137,05:02,05:02,DM,"you know,"
138,05:03,05:03,DM,"kind of seen you guys,"
139,05:03,05:05,DM,"or his apprentice is alive."
140,05:06,05:06,Speaker 1,"And,"
141,05:07,05:07,Speaker 1,"um,"
142,05:07,05:08,Speaker 1,"yes."
143,05:09,05:10,DM,"So Kaizel,"
144,05:10,05:12,DM,"I completely lost track of where we were."
145,05:13,05:14,Delmar,"He just chucked it at me."
146,05:15,05:15,Delmar,"Yeah,"
147,05:15,05:16,Delmar,"his turn's finished."
