ID,Start,End,Speaker,Text
1,00:00,00:00,Perrin,"dead and now she's fine."
2,00:01,00:01,Perrin,"But she's,"
3,00:01,00:01,Perrin,"yeah,"
4,00:01,00:02,Perrin,"she's not actually."
5,00:02,00:02,Delmar,"Alright,"
6,00:03,00:06,Delmar,"then Delmore will just wish her,"
7,00:06,00:08,Delmar,"will let her go then."
8,00:08,00:08,Delmar,"Like,"
9,00:08,00:09,Delmar,"won't follow."
10,00:09,00:10,Delmar,"There's no reason at that point,"
11,00:10,00:12,Delmar,"because if I can clearly see that,"
12,00:12,00:13,Delmar,"like,"
13,00:13,00:14,Delmar,"she went from fucked up and dead to,"
14,00:15,00:15,Delmar,"like,"
15,00:15,00:16,Delmar,"she's back,"
16,00:16,00:17,Delmar,"but obviously,"
17,00:17,00:17,Delmar,"like,"
18,00:17,00:17,Delmar,"you know."
19,00:17,00:18,Delmar,"No,"
20,00:18,00:18,Delmar,"sore necks."
21,00:18,00:18,Delmar,"Yeah."
22,00:19,00:20,Delmar,"That neck's real sore."
23,00:21,00:21,Delmar,"Yeah,"
24,00:21,00:21,Delmar,"stiff neck,"
25,00:21,00:22,Delmar,"that's about it."
26,00:22,00:22,Delmar,"No,"
27,00:22,00:23,Delmar,"I've been thinking about this exchange."
28,00:24,00:25,Delmar,"I just didn't expect it to be this."
29,00:25,00:29,Delmar,"I thought it was going to be Cultist coming at us and that's why I wanted him invisible,"
30,00:29,00:57,Delmar,"because it was just like i'm gonna need support if i'm gonna do anything and survive i would but then once you said ritual was like oh shit i'm talking to umber fuck this is happening this is direct i don't know either i'm so glad i thought about before because i'm just like okay i need to know how to speak to her i just wasn't expecting it this quick so that's gonna be really fucking pissed you did this without her i mean it's true so that is based um clocking the jaw for that one let's say uh find"
31,00:57,01:03,DM,"your way back to the tavern you're staying at and with a little sleep in able to get a full long rest."
32,01:03,01:04,DM,"A little leg sweep."
33,01:12,01:16,Delmar,"First time I've ever spoken to a god in D&D."
34,01:16,01:17,Delmar,"How was it?"
35,01:17,01:18,Delmar,"That was intense."
36,01:18,01:18,Delmar,"That was great,"
37,01:18,01:19,Delmar,"man."
38,01:19,01:19,Delmar,"I love that."
39,01:19,01:20,Delmar,"Holy shit,"
40,01:20,01:21,Delmar,"that was awesome."
41,01:24,01:28,Delmar,"I actually sassed her a bit."
42,01:28,01:29,Delmar,"I didn't think that was going to work."
43,01:29,01:32,Delmar,"I thought I was going to get fucking dragged into the ocean and drowned or something."
44,01:35,01:35,DM,"Well,"
45,01:35,01:36,DM,"you're on dry land."
46,01:36,01:37,DM,"You're a bit safer."
47,01:39,01:40,Crissdalyn,"That was awesome."
