ID,Start,End,Speaker,Text,Source
1,00:00,00:01,Perrin,go around from everyone and talk.,session04-part00.m4a.csv
2,00:01,00:02,Perrin,"Oh,",session04-part00.m4a.csv
3,00:02,00:02,DM,that sound off?,session04-part00.m4a.csv
4,00:03,00:04,DM,Talking voice and character voice?,session04-part00.m4a.csv
5,00:04,00:05,DM,I'll do it after.,session04-part00.m4a.csv
6,00:06,00:06,DM,"Yeah,",session04-part00.m4a.csv
7,00:06,00:07,DM,I'll do it after.,session04-part00.m4a.csv
8,00:07,00:07,DM,"I can just,",session04-part00.m4a.csv
9,00:07,00:07,DM,yeah.,session04-part00.m4a.csv
10,00:08,00:08,DM,"I mean,",session04-part00.m4a.csv
11,00:08,00:09,DM,"you could use the old one,",session04-part00.m4a.csv
12,00:09,00:09,DM,I guess.,session04-part00.m4a.csv
13,00:10,00:10,DM,"Well,",session04-part00.m4a.csv
14,00:10,00:10,DM,"I mean,",session04-part00.m4a.csv
15,00:10,00:11,DM,I can use all of them.,session04-part00.m4a.csv
16,00:11,00:12,DM,"It's just,",session04-part00.m4a.csv
17,00:12,00:12,DM,"yeah,",session04-part00.m4a.csv
18,00:13,00:13,DM,it's fine.,session04-part00.m4a.csv
19,00:13,00:14,DM,I'll do it after.,session04-part00.m4a.csv
20,00:14,00:14,Jean Claude,Yeah.,session04-part00.m4a.csv
21,00:14,00:15,Jean Claude,"So,",session04-part00.m4a.csv
22,00:15,00:15,Jean Claude,"like,",session04-part00.m4a.csv
23,00:15,00:16,Jean Claude,"I hold it out,",session04-part00.m4a.csv
24,00:16,00:16,Jean Claude,"and it's like,",session04-part00.m4a.csv
25,00:16,00:17,Jean Claude,I hold it closer.,session04-part00.m4a.csv
26,00:18,00:18,Jean Claude,Yeah.,session04-part00.m4a.csv
27,00:18,00:19,Jean Claude,"And I'll say,",session04-part00.m4a.csv
28,00:19,00:20,Jean Claude,do you know exactly what this is?,session04-part00.m4a.csv
29,00:21,00:23,DM,That appears to be a whip shark egg.,session04-part00.m4a.csv
30,00:23,00:23,DM,"Yes,",session04-part00.m4a.csv
31,00:23,00:26,DM,those are very difficult to get a hold of.,session04-part00.m4a.csv
32,00:26,00:28,DM,How did you acquire such one?,session04-part00.m4a.csv
33,00:28,00:29,DM,Is it first alive?,session04-part00.m4a.csv
34,00:30,00:30,Speaker 1,Yes.,session04-part00.m4a.csv
35,00:31,00:31,DM,"Yes,",session04-part00.m4a.csv
36,00:32,00:33,DM,I would be more than happy to buy them.,session04-part00.m4a.csv
37,00:34,00:35,DM,Is it just the one you have?,session04-part00.m4a.csv
38,00:36,00:37,Jean Claude,I may have more.,session04-part00.m4a.csv
39,00:37,00:39,Jean Claude,It depends on the price that you are offering.,session04-part00.m4a.csv
40,00:41,00:41,DM,"Okay,",session04-part00.m4a.csv
41,00:41,00:41,DM,"well,",session04-part00.m4a.csv
42,00:41,00:43,DM,they're a very useful item.,session04-part00.m4a.csv
43,00:43,00:45,DM,And it's fertilized.,session04-part00.m4a.csv
44,00:45,00:48,DM,It does take some of the value away.,session04-part00.m4a.csv
45,00:50,00:51,Jean Claude,Shouldn't it add to the value?,session04-part00.m4a.csv
46,00:51,00:52,Jean Claude,No.,session04-part00.m4a.csv
